No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,2,100nF,"C1,C2",C0402,100nF,CL05B104KO5NNNC,SAMSUNG,C1525,LCSC
2,2,74LVCH244AQ20-13,"U1,U2",V-QFN4525-20_L4.5-W2.5-P0.50-BL,,74LVC244HAQ20-13,DIODES INCORPORATED,C2675954 LCSC,LCSC
